prefixo;numero_titulo;parcela;tipo;cliente_codigo;loja;nome_cliente;dt_emissao;vencimento;vendedor;gerente;Saldo atual
AFI;14918;002;NF;000412;01;ATEC;20/05/2026;06/07/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 46.157,95
003;35904;;NF;001740;12;SOCIEDADE BENEF ISRA;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;GABRIEL;R$ 599,92
003;35906;;NF;001740;12;SOCIEDADE BENEF ISRA;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;GABRIEL;R$ 3.735,50
003;35908;;NF;001740;12;SOCIEDADE BENEF ISRA;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;GABRIEL;R$ 3.735,50
003;35915;001;NF;780401;01;DATRIX INDUSTRIA E C;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 2.887,37
003;36547;001;NF;780990;01;CLINICA MEDICA LDC;07/07/2026;10/07/2026;;;R$ 5.000,00
005;1990;;NF;001740;12;SOCIEDADE BENEF ISRA;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;GABRIEL;R$ 970,00
005;1991;;NF;001740;12;SOCIEDADE BENEF ISRA;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;GABRIEL;R$ 970,00
005;1993;;NF;001740;12;SOCIEDADE BENEF ISRA;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;GABRIEL;R$ 970,00
005;1996;;NF;000559;18;COORD GERAL;10/06/2026;10/07/2026;HENRIQUE CARVALHO;GABRIEL;R$ 7.556,48
AFI;14791;;NF;000801;01;ALTERNATIVE MEDICAL;04/05/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 1.300,00
AFI;14872;;NF;780987;01;ABRASOCIAL ASSOCIACA;11/05/2026;10/07/2026;HENRIQUE CARVALHO;AMAURI;R$ 49.616,50
AFI;15024;;NF;780073;03;SAMU;09/06/2026;09/07/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 29.645,46
AFI;15027;;NF;001021;53;NOTRE DAME INTERMEDI;09/06/2026;09/07/2026;FERNANDO DURAO LORDELLO FILHO;RONALDO;R$ 85.000,00
AFI;15028;;NF;007324;02;SAMU;09/06/2026;09/07/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 87.951,00
AFI;15035;;NF;781179;01;BRAZIL 3;10/06/2026;10/07/2026;FIRST MEDICAL SERVICE LTDA;AMAURI;R$ 22.400,00
008;760;003;NF;780741;01;ROCHA MEDICAL;10/03/2026;08/07/2026;SULAMITA DE SOUZA GODOI 22099680892;CELSO;R$ 19.033,22
008;771;004;NF;780479;01;PROSURGERY;12/03/2026;10/07/2026;SULAMITA DE SOUZA GODOI 22099680892;CELSO;R$ 5.615,73
008;773;004;NF;780846;01;ALD MED DISTRIBUIDOR;12/03/2026;10/07/2026;SULAMITA DE SOUZA GODOI 22099680892;CELSO;R$ 672,20
008;991;002;NF;781213;01;AMARALMED;09/06/2026;08/07/2026;FIRST MEDICAL SERVICE LTDA;RENATO;R$ 25.480,00
